City,id,zip,lat,lon,cdd Jan,hdd Jan,cdd Feb,hdd Feb,cdd Mar,hdd Mar,cdd Apr,hdd Apr,cdd May,hdd May,cdd Jun,hdd Jun,cdd Jul,hdd Jul,cdd Aug,hdd Aug,cdd Sep,hdd Sep,cdd Oct,hdd Oct,cdd Nov,hdd Nov,cdd Dec,hdd Dec,zip,lat,lon,cdd Jan 2021,cdd Feb 2021,cdd Mar 2021,cdd Apr 2021,cdd May 2021,cdd Jun 2021,cdd Jul 2021,cdd Aug 2021,cdd Sep 2021,cdd Oct 2021,cdd Nov 2021,cdd Dec 2021,cdd Jan 2022,cdd Feb 2022,cdd Mar 2022,cdd Apr 2022,cdd May 2022,cdd Jun 2022,cdd Jul 2022,cdd Aug 2022,cdd Sep 2022,cdd Oct 2022,cdd Nov 2022,cdd Dec 2022,cdd Jan 2023,cdd Feb 2023,cdd Mar 2023,cdd Apr 2023,cdd May 2023,cdd Jun 2023,cdd Jul 2023,cdd Aug 2023,cdd Sep 2023,cdd Oct 2023,cdd Nov 2023,cdd Dec 2023,hdd Jan 2021,hdd Feb 2021,hdd Mar 2021,hdd Apr 2021,hdd May 2021,hdd Jun 2021,hdd Jul 2021,hdd Aug 2021,hdd Sep 2021,hdd Oct 2021,hdd Nov 2021,hdd Dec 2021,hdd Jan 2022,hdd Feb 2022,hdd Mar 2022,hdd Apr 2022,hdd May 2022,hdd Jun 2022,hdd Jul 2022,hdd Aug 2022,hdd Sep 2022,hdd Oct 2022,hdd Nov 2022,hdd Dec 2022,hdd Jan 2023,hdd Feb 2023,hdd Mar 2023,hdd Apr 2023,hdd May 2023,hdd Jun 2023,hdd Jul 2023,hdd Aug 2023,hdd Sep 2023,hdd Oct 2023,hdd Nov 2023,hdd Dec 2023
"TUCSON, AZ",40,85719,32.24,-110.95,0,351,2,268,31,162,210,16,421,0,690,0,776,0,642,0,541,0,209,12,29,135,3,323,85719,32.24,-110.95,0,6,46,222,418,752,657,649,547,218,83,8,0,0,43,220,455,719,761,651,595,225,3,0,1,0,4,188,389,599,909,625,480,183,0,0,326,195,172,6,0,0,0,0,0,20,19,240,321,291,135,10,0,0,0,0,0,17,206,332,407,319,178,31,0,0,0,0,0,0,181,398
"WINSLOW, AZ",41,86047,35.1,-110.64,0,912,0,734,1,597,14,260,65,54,324,1,550,0,381,0,193,8,4,285,0,635,0,845,86047,35.1,-110.64,0,0,0,27,63,401,524,419,229,2,0,0,0,0,2,14,91,394,553,388,240,9,0,0,0,0,0,0,41,176,574,336,109,0,0,0,970,661,618,234,48,0,0,0,19,299,516,766,886,750,563,231,56,0,0,0,0,278,741,818,881,790,611,315,59,2,0,0,6,277,648,951
"YUMA, AZ",42,85364,32.68,-114.66,3,217,13,147,75,72,295,6,477,0,740,0,977,0,905,0,751,0,377,0,85,51,7,215,85364,32.68,-114.66,9,12,45,312,485,828,969,904,768,314,191,22,1,27,140,298,505,801,942,920,786,434,22,0,0,0,41,276,441,590,1021,891,698,382,43,0,212,86,86,1,0,0,0,0,0,0,0,181,174,142,42,2,0,0,0,0,0,0,106,240,264,214,87,15,0,0,0,0,0,0,46,225
"BAKERSFIELD, CA",43,93304,35.33,-119.02,0,437,1,339,17,248,84,77,257,24,458,0,727,0,637,0,453,0,145,38,0,290,0,520,93304,35.33,-119.02,0,0,7,104,298,568,789,669,467,102,0,0,0,2,43,60,243,502,685,709,533,240,0,0,0,0,0,89,230,303,708,534,359,92,0,0,412,291,236,35,8,1,0,0,0,69,224,484,455,305,160,64,30,0,0,0,0,27,346,526,443,422,348,132,33,0,0,0,0,18,300,549
"BLYTHE, CA",44,92225,33.75,-114.51,8,256,28,159,219,53,449,1,637,0,775,0,1031,0,983,0,782,0,403,2,56,104,10,303,92225,33.75,-114.51,8,2,43,374,512,887,1023,1194,934,483,147,29,14,83,453,309,549,818,997,903,776,444,13,0,2,0,161,663,850,621,1073,852,636,282,7,0,296,134,102,1,0,0,0,0,0,3,15,222,182,86,0,3,0,0,0,0,0,2,178,339,289,256,56,0,0,0,0,0,0,0,119,347
"EUREKA, CA",45,95501,40.8,-124.15,0,535,0,560,0,607,0,535,0,429,0,270,6,221,0,209,0,245,0,358,0,458,0,570,95501,40.8,-124.15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,561,634,551,451,277,274,258,283,362,388,594,554,518,546,533,429,239,198,181,230,391,567,591,520,600,641,520,407,295,191,188,223,322,420,525
"FRESNO, CA",46,93702,36.74,-119.75,0,446,0,350,15,261,75,77,244,24,448,0,694,0,598,0,419,0,120,47,0,322,0,554,93702,36.74,-119.75,0,0,6,76,272,535,747,638,446,81,1,0,0,0,38,55,240,499,660,684,520,230,0,0,0,0,0,93,219,309,676,471,292,49,0,0,436,294,264,38,7,0,0,0,0,66,226,512,448,312,164,68,30,0,0,0,0,31,378,541,454,443,354,124,35,0,0,0,0,43,361,609
"IMPERIAL, CA",47,91932,32.57,-117.11,0,271,4,198,59,95,264,13,443,0,695,0,974,0,880,0,696,0,321,2,56,95,6,252,91932,32.57,-117.11,0,6,32,301,457,796,950,902,727,258,134,8,1,7,104,253,467,737,922,954,745,406,19,10,0,0,40,239,405,553,1050,783,616,300,15,0,259,135,109,4,0,0,0,0,0,3,16,236,254,196,54,4,0,0,0,0,0,2,182,205,299,262,121,30,0,0,0,0,0,0,88,316
"LOS ANGELES, CA",48,90057,34.06,-118.27,7,237,8,210,5,231,24,140,5,87,40,19,118,2,180,0,196,0,81,19,17,110,1,259,90057,34.06,-118.27,15,0,3,17,4,34,115,142,104,65,51,0,5,24,13,47,11,84,128,219,324,117,1,4,0,0,0,8,0,2,112,179,161,61,0,0,241,196,265,137,90,18,0,0,1,53,88,297,171,157,137,93,55,0,0,0,0,2,142,252,299,277,290,189,117,39,7,0,0,1,101,228
"MOUNT SHASTA, CA",49,96067,41.31,-122.32,0,493,5,418,7,349,56,132,271,39,460,0,708,0,507,5,324,53,107,196,0,488,0,704,96067,41.31,-122.32,1,0,2,49,325,548,719,703,448,69,0,0,0,15,20,39,229,433,697,792,523,253,0,0,0,0,0,80,260,399,707,25,0,0,0,0,525,462,350,68,6,0,0,0,0,90,278,560,458,296,183,147,56,0,0,0,0,52,438,616,497,497,514,180,56,0,0,14,160,447,747,936
"PASO ROBLES, CA",50,93446,35.61,-120.76,1,459,0,434,1,382,11,198,69,84,219,25,394,0,317,0,232,4,49,101,1,343,1,517,93446,35.61,-120.76,0,0,0,9,76,248,361,314,232,38,3,3,4,0,3,15,77,345,429,363,312,97,0,0,0,0,0,9,54,63,393,274,151,11,0,0,462,358,406,174,53,24,0,0,3,123,189,505,423,421,281,179,55,2,0,0,9,95,473,498,493,523,460,240,143,48,0,0,0,86,366,548
"RED BLUFF, CA",51,96080,40.13,-122.43,1,470,1,379,7,324,45,142,230,47,439,0,650,0,542,0,368,1,97,68,0,356,0,583,96080,40.13,-122.43,4,0,0,48,283,508,655,555,370,41,0,0,0,4,12,29,197,456,679,609,431,192,0,0,0,0,9,58,211,353,615,461,302,57,0,0,469,347,335,93,6,0,0,0,1,125,278,578,449,300,198,136,62,0,0,0,1,32,430,593,491,491,438,198,73,1,0,0,0,47,361,577
"REDDING, CA",52,96002,40.52,-122.32,0,489,8,388,7,359,42,155,228,50,438,0,663,0,549,0,346,1,89,83,0,382,0,590,96002,40.52,-122.32,1,10,2,30,274,526,702,562,354,36,0,0,0,14,20,34,188,411,629,651,428,203,0,0,0,0,0,63,223,377,657,433,257,28,0,0,521,358,360,95,9,0,0,0,2,138,288,555,454,302,193,162,69,0,0,0,1,30,448,611,493,504,524,209,73,0,0,0,0,80,410,604
"SACRAMENTO, CA",53,95842,38.68,-121.34,0,488,0,397,3,332,28,148,120,53,244,4,379,0,354,0,273,0,60,71,0,362,0,585,95842,38.68,-121.34,0,0,2,27,152,278,389,339,266,30,0,0,0,0,7,16,133,323,358,416,348,114,0,0,0,0,0,42,76,131,391,306,206,35,0,0,483,341,341,107,17,8,0,0,0,115,304,583,506,372,227,147,53,1,0,0,0,52,433,583,474,479,428,190,89,3,0,0,0,47,349,589
"SAN DIEGO, CA",54,92105,32.73,-117.08,3,245,3,217,4,205,16,104,7,62,54,7,186,0,264,0,247,0,93,10,15,107,0,256,92105,32.73,-117.08,9,0,7,21,16,96,248,266,222,84,45,0,0,9,5,21,4,50,148,292,312,107,1,0,0,0,0,6,0,17,161,235,206,87,0,0,216,165,195,61,20,0,0,0,0,26,52,282,239,215,175,100,85,11,0,0,0,5,179,263,280,271,245,151,82,9,0,0,0,0,91,224
"SAN FRANCISCO, CA",55,94108,37.79,-122.41,0,363,0,318,2,331,4,242,4,166,32,62,17,51,30,22,45,28,10,120,0,273,0,447,94108,37.79,-122.41,0,0,3,5,3,55,21,32,27,21,0,0,0,0,2,8,7,42,11,58,108,10,0,0,0,0,0,0,3,0,18,0,0,0,0,0,358,267,307,234,156,34,44,23,36,109,189,430,392,289,289,233,164,64,57,4,16,130,327,444,340,397,396,258,178,89,52,39,31,120,302,466
"STOCKTON, CA",56,95207,38.0,-121.32,0,466,0,384,2,331,21,151,117,50,288,4,473,0,388,0,288,0,65,78,0,367,1,570,95207,38.0,-121.32,0,0,0,10,107,275,413,335,228,26,0,3,0,0,6,20,152,413,541,467,392,131,0,0,0,0,0,33,93,176,466,363,243,39,0,0,438,311,385,152,22,11,0,0,1,138,319,532,488,377,206,112,47,0,0,0,0,50,427,570,471,465,402,188,80,0,0,0,0,47,354,608
"AKRON, CO",57,80720,40.16,-103.21,0,1155,0,1071,0,887,6,552,25,255,174,36,354,3,292,0,121,66,6,393,0,791,0,1056,80720,40.16,-103.21,0,0,0,6,12,194,342,325,174,2,0,0,0,0,0,4,48,261,475,321,167,16,0,0,0,0,0,8,15,67,246,230,22,0,0,0,1037,1167,795,578,295,21,0,0,55,353,611,855,1116,1042,857,542,283,30,0,0,69,394,920,1195,1313,1004,1008,537,188,58,9,0,74,431,843,1119
"ALAMOSA, CO",58,81101,37.46,-105.87,0,1404,0,1170,0,977,0,685,0,370,19,127,93,7,21,54,2,219,0,650,0,1038,0,1323,81101,37.46,-105.87,0,0,0,0,0,35,94,26,0,0,0,0,0,0,0,0,0,14,75,36,6,0,0,0,0,0,0,0,0,7,111,0,0,0,0,0,1422,1098,948,669,392,86,2,30,192,595,891,1211,1445,1240,995,648,352,95,13,44,156,669,1127,1277,1346,1171,989,737,367,200,7,87,309,685,1095,1481
"COLORADO SPRINGS, CO",59,80910,38.81,-104.77,0,1010,0,978,0,779,2,494,15,230,134,56,254,2,196,0,85,83,0,412,0,754,0,974,80910,38.81,-104.77,0,0,0,2,1,181,240,287,144,0,0,0,0,0,0,3,44,161,283,216,112,0,0,0,0,0,0,0,1,61,239,86,0,0,0,0,1027,1080,770,540,274,36,0,0,49,363,563,757,960,1005,730,397,217,44,1,0,48,382,846,1056,1042,849,836,544,198,88,4,0,151,490,854,1108
"DENVER, CO",60,80203,39.73,-104.98,0,1077,0,1015,0,819,4,522,12,241,160,42,345,1,286,0,121,72,2,383,0,753,0,1008,80203,39.73,-104.98,0,0,0,0,9,221,367,329,179,5,0,0,0,0,0,5,25,201,385,352,177,0,0,0,0,0,0,6,3,57,282,176,7,0,0,0,954,1105,786,557,280,19,0,0,57,344,555,822,1054,999,781,494,272,30,0,0,52,339,871,1098,1224,942,891,514,172,76,2,0,107,465,833,1103
"EAGLE, CO",61,81631,39.65,-106.82,0,1325,0,1123,0,960,0,649,0,343,57,92,210,2,75,17,16,163,1,583,0,950,0,1279,81631,39.65,-106.82,0,0,0,0,0,68,220,64,9,0,0,0,0,0,0,0,0,84,236,132,39,3,0,0,0,0,0,0,0,19,173,30,0,0,0,0,1301,1025,882,599,360,40,2,30,127,579,796,1171,1435,1177,952,646,361,66,0,6,124,566,1065,1306,1239,1168,1047,701,308,170,3,16,238,604,990,1361
"GRAND JUNCTION, CO",62,81501,39.08,-108.55,0,1099,0,899,0,711,1,400,65,103,284,3,529,0,374,3,135,22,0,373,0,758,0,1061,81501,39.08,-108.55,0,0,0,1,70,367,534,375,156,0,0,0,0,0,0,2,67,278,481,440,201,0,0,0,0,0,0,0,59,207,571,306,48,0,0,0,1137,843,651,365,104,0,0,9,26,403,653,991,1167,926,669,378,160,2,0,0,8,343,821,1059,993,929,812,456,46,6,0,0,32,373,800,1134
"LA JUNTA, CO",63,81050,37.98,-103.54,0,999,0,938,0,654,11,341,61,121,241,15,496,0,388,0,176,20,8,275,0,690,0,979,81050,37.98,-103.54,0,0,0,13,66,309,499,453,260,14,0,0,0,0,0,11,89,275,466,358,181,9,1,0,0,0,0,8,29,138,524,352,87,0,0,0,953,1041,598,349,134,6,0,0,14,216,513,720,958,898,662,276,158,18,0,0,30,297,808,1165,1086,875,703,397,70,20,0,0,15,311,750,1052
"PUEBLO, CO",64,81003,38.27,-104.62,0,1029,0,960,0,724,3,398,43,135,241,18,456,0,337,0,135,29,1,338,0,736,0,973,81003,38.27,-104.62,0,0,0,3,33,264,401,361,180,3,0,0,0,0,0,6,63,323,547,377,185,1,0,0,0,0,0,1,34,135,421,274,40,0,0,0,1009,1044,675,410,171,12,0,0,22,304,583,749,1013,968,728,362,172,20,0,0,24,321,838,1095,1065,867,768,423,62,22,0,0,40,389,788,1074
"TRINIDAD, CO",65,81082,37.16,-104.5,0,1000,0,928,0,739,3,451,26,179,186,36,342,0,258,2,111,39,1,351,0,702,0,904,81082,37.16,-104.5,0,0,0,2,20,209,326,275,167,4,0,0,0,0,0,4,55,239,334,283,138,0,0,0,0,0,0,2,3,109,367,215,29,0,0,0,984,970,709,472,198,27,0,1,42,310,547,721,928,949,741,405,191,35,0,5,24,376,815,978,1088,866,766,476,147,46,0,0,51,368,745,1014
"BRIDGEPORT, CT",66,06608,41.19,-73.18,0,961,0,863,0,721,4,431,30,172,153,17,365,1,335,0,107,26,5,247,1,571,0,856,06608,41.19,-73.18,0,0,0,0,37,205,308,361,157,15,0,0,0,0,0,0,41,157,408,386,114,0,2,0,0,0,0,11,11,96,378,259,51,0,0,0,986,912,710,424,176,7,3,0,9,134,619,750,1124,874,726,471,156,12,0,0,43,297,501,891,774,802,727,398,183,33,0,0,27,310,593,927
"HARTFORD, CT",67,06106,41.76,-72.68,0,1077,0,946,0,762,7,410,48,174,168,25,327,2,294,0,58,64,1,329,2,655,0,952,06106,41.76,-72.68,0,0,0,0,35,230,252,306,79,2,0,0,0,0,0,0,95,135,354,371,75,1,6,0,0,0,0,22,13,140,376,206,20,0,0,0,1113,1023,753,414,195,12,6,0,47,238,707,845,1245,937,766,455,129,18,0,0,75,348,568,954,874,879,768,362,199,45,0,0,70,400,690,1057
"WASHINGTON, DC",68,20009,38.92,-77.04,0,789,0,631,3,459,39,215,111,67,320,0,506,0,458,0,226,6,34,150,8,466,0,698,20009,38.92,-77.04,0,0,6,33,121,354,495,495,252,99,0,0,0,0,2,22,147,332,502,484,253,4,23,0,0,0,2,62,64,273,521,394,173,0,0,0,816,759,438,232,83,0,0,0,0,51,516,540,938,628,448,267,57,0,0,0,17,213,395,773,613,507,491,147,60,0,0,0,0,187,486,781
"WILMINGTON, DE",69,19802,39.76,-75.53,0,681,0,538,16,341,82,100,252,20,476,0,673,0,560,0,309,4,87,119,19,396,0,656,19802,39.76,-75.53,0,0,24,69,238,535,653,653,405,206,3,0,0,0,25,48,334,488,682,713,426,56,55,0,0,0,0,128,183,404,683,313,97,0,0,0,716,669,332,96,23,0,0,0,0,10,346,433,839,515,317,126,15,0,0,0,0,67,279,651,487,429,374,77,23,0,0,0,11,281,564,884
"DAYTONA BEACH, FL",70,32118,29.21,-81.0,201,36,344,8,468,1,554,0,713,0,770,0,868,0,761,0,671,0,531,0,303,1,235,59,32118,29.21,-81.0,155,332,410,482,701,764,864,887,786,705,341,414,177,307,510,564,744,778,837,882,773,604,494,292,271,393,485,616,694,769,904,513,454,285,73,0,29,21,0,0,0,0,0,0,0,0,0,3,58,2,2,0,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,4,123
"FORT LAUDERDALE, FL",71,33313,26.15,-80.23,407,3,497,0,564,0,609,0,712,0,721,0,814,0,745,0,674,0,612,0,451,0,385,7,33313,26.15,-80.23,368,492,523,579,708,716,781,825,737,713,444,529,372,465,574,613,716,702,804,850,775,694,630,482,481,534,594,635,711,745,857,561,509,430,278,144,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0
"FORT MYERS, FL",72,33907,26.56,-81.87,113,68,210,18,293,3,370,1,495,0,546,0,629,0,595,0,543,0,429,1,248,1,163,20,33907,26.56,-81.87,68,200,213,314,493,543,593,594,553,504,184,248,106,189,342,381,480,536,628,629,559,390,350,193,166,242,324,415,511,559,665,561,518,394,209,48,76,35,4,3,0,0,0,0,0,0,2,4,82,19,4,0,0,0,0,0,0,3,1,56,45,1,1,0,0,0,0,0,0,0,0,0
"GAINESVILLE, FL",73,32603,29.66,-82.35,149,67,265,23,398,6,493,2,654,0,756,0,814,0,682,0,571,0,382,0,196,29,179,118,32603,29.66,-82.35,141,198,369,426,597,734,769,788,654,539,181,337,88,218,398,490,703,774,802,777,663,440,400,201,218,380,427,562,661,759,871,482,395,166,6,0,71,35,4,7,0,0,0,0,0,0,18,2,88,32,10,0,0,0,0,0,0,0,6,86,42,3,5,0,0,0,0,0,0,0,64,265
"JACKSONVILLE, FL",74,32277,30.38,-81.59,24,330,57,177,98,112,136,41,284,4,455,0,552,0,517,0,396,0,174,19,41,134,26,232,32277,30.38,-81.59,19,29,94,95,233,433,504,530,392,230,10,55,17,43,74,129,332,473,537,519,401,148,113,22,36,100,127,185,287,458,615,503,395,145,0,0,337,228,134,71,10,0,0,0,0,20,216,102,405,219,91,34,3,0,0,0,0,37,88,289,248,85,110,18,0,0,0,0,0,0,97,306
"KEY WEST, FL",75,33040,24.55,-81.78,194,12,287,2,366,0,422,0,517,0,565,0,637,3,618,0,558,0,493,0,349,0,280,8,33040,24.55,-81.78,135,290,345,418,512,540,598,623,565,531,272,333,203,220,358,402,507,536,600,627,555,473,431,281,243,352,394,446,531,620,712,603,554,476,345,225,4,5,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,8,0,0,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0
"MELBOURNE, FL",76,32935,28.15,-80.65,73,146,139,47,216,18,272,7,402,0,507,0,595,0,553,0,473,0,340,1,171,18,87,58,32935,28.15,-80.65,54,154,163,223,419,502,556,561,486,389,114,161,74,102,227,264,419,529,639,581,481,307,270,98,90,160,258,328,369,489,590,518,452,323,129,2,161,66,14,11,0,0,0,0,0,0,47,21,168,58,14,9,0,0,0,0,0,2,8,99,110,17,27,0,0,0,0,0,0,0,0,55
"MIAMI, FL",77,33131,25.77,-80.18,182,32,278,6,339,1,408,0,514,0,542,0,622,0,613,0,553,0,477,0,319,0,242,14,33131,25.77,-80.18,130,284,298,378,510,537,587,619,549,505,242,297,167,242,351,412,518,523,610,644,587,486,428,271,250,309,369,434,513,566,670,575,523,439,287,159,15,17,0,0,0,0,0,0,0,0,0,0,54,2,2,0,0,0,0,0,0,0,0,43,26,0,0,0,0,0,0,0,0,0,0,0
"ORLANDO, FL",78,32839,28.49,-81.41,56,154,137,49,220,22,286,6,433,0,527,0,603,0,599,0,518,0,365,1,165,18,93,66,32839,28.49,-81.41,38,136,171,223,421,509,572,622,539,434,121,171,40,116,252,293,464,557,615,617,526,337,253,102,90,159,237,342,414,514,622,558,488,324,120,5,183,73,31,15,0,0,0,0,0,0,38,12,170,59,14,3,0,0,0,0,0,4,17,123,110,14,22,0,0,0,0,0,0,0,0,62
"PENSACOLA, FL",79,32501,30.43,-87.22,26,327,55,209,104,76,155,23,368,0,531,0,597,0,561,0,437,0,196,16,44,138,54,236,32501,30.43,-87.22,8,29,90,112,312,501,572,589,423,276,16,97,13,25,71,178,432,590,580,557,474,171,115,64,56,112,151,176,360,502,638,536,414,141,0,0,353,274,75,47,0,0,0,0,0,9,167,105,428,235,56,13,0,0,0,0,0,39,123,268,200,118,98,9,0,0,0,0,0,0,124,335
"TALLAHASSEE, FL",80,32304,30.45,-84.35,22,373,44,214,89,104,130,45,329,1,506,0,561,0,540,0,421,0,166,29,33,164,28,261,32304,30.45,-84.35,11,27,83,82,281,477,534,544,409,231,8,58,13,16,48,142,362,565,535,534,428,130,92,25,43,88,135,165,344,476,614,541,426,136,0,0,394,264,121,68,3,0,0,0,0,28,246,134,448,257,97,49,0,0,0,0,0,58,116,302,278,121,94,17,0,0,0,0,0,1,130,347
"TAMPA, FL",81,33606,27.95,-82.48,64,127,145,40,248,17,331,2,494,0,577,0,651,0,608,0,530,0,390,3,172,14,111,57,33606,27.95,-82.48,45,125,206,273,505,570,628,621,551,479,130,217,60,149,291,357,518,607,653,644,532,345,245,111,87,162,248,363,458,554,671,558,508,345,141,5,147,58,18,6,0,0,0,0,0,0,26,9,136,49,12,0,0,0,0,0,0,8,17,115,98,14,22,0,0,0,0,0,0,0,0,46
"VERO BEACH, FL",82,32962,27.59,-80.38,284,17,403,4,501,0,558,0,659,0,734,0,818,0,730,0,636,0,527,0,349,0,244,19,32962,27.59,-80.38,235,420,477,533,694,747,788,812,712,642,352,376,260,368,508,554,652,720,846,850,721,583,523,342,357,420,519,588,630,734,821,527,476,355,171,13,7,12,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,36,17,0,0,0,0,0,0,0,0,0,0,21
"WEST PALM BEACH, FL",83,33415,26.66,-80.13,137,57,249,15,318,1,370,0,479,0,527,0,604,0,603,0,522,0,435,0,279,1,185,19,33415,26.66,-80.13,93,275,292,345,514,540,571,606,526,478,209,236,126,213,327,366,472,513,629,644,535,419,377,213,192,258,334,400,450,527,612,558,504,408,250,105,52,32,0,0,0,0,0,0,0,0,3,5,80,10,4,0,0,0,0,0,0,0,0,52,39,3,0,0,0,0,0,0,0,0,0,0
"ALBANY, GA",84,31707,31.59,-84.21,76,186,161,72,316,14,432,1,642,0,767,0,811,0,693,0,551,0,312,10,142,105,127,214,31707,31.59,-84.21,64,124,294,363,592,747,807,799,639,497,119,227,38,113,279,439,676,808,750,789,658,375,308,154,126,245,374,494,658,746,877,492,356,65,0,0,199,102,15,3,0,0,0,0,0,0,61,36,245,95,11,0,0,0,0,0,0,9,36,155,113,19,16,0,0,0,0,0,0,21,218,450
"ATHENS, GA",85,30606,33.95,-83.39,2,573,8,382,16,254,37,134,193,24,384,0,491,0,459,0,257,3,55,139,8,353,3,520,30606,33.95,-83.39,0,1,22,44,174,416,501,519,284,144,0,6,6,6,10,29,269,458,488,432,252,13,24,2,0,18,17,39,137,278,483,425,235,8,0,0,573,456,218,118,29,0,0,0,0,168,372,318,663,401,257,142,4,0,0,0,9,146,324,621,484,290,287,143,39,0,0,0,0,102,364,621
"ATLANTA, GA",86,30308,33.77,-84.37,3,550,13,366,22,226,55,106,216,17,405,0,513,0,457,0,272,1,61,86,13,332,4,477,30308,33.77,-84.37,0,2,30,57,172,384,470,485,273,133,0,11,8,9,10,52,283,477,507,456,290,29,38,2,1,27,27,55,192,354,562,431,252,20,0,0,586,465,208,116,24,0,0,0,2,67,363,286,649,385,220,105,7,0,0,0,0,107,289,539,415,247,250,97,21,0,0,0,0,83,345,606
"AUGUSTA, GA",87,30903,33.49,-82.16,6,532,15,331,31,219,45,108,197,21,385,0,516,0,487,0,282,3,68,91,55,281,9,460,30903,33.49,-82.16,3,8,52,55,195,422,508,546,305,152,0,26,15,17,25,40,261,431,511,463,270,34,164,2,0,19,15,41,135,303,528,451,272,18,0,0,529,395,189,106,20,0,0,0,0,53,366,277,603,339,219,125,9,0,0,0,8,148,161,545,463,259,248,92,33,0,0,0,0,71,315,557
"BRUNSWICK, GA",88,31520,31.15,-81.48,20,384,38,221,76,144,98,61,243,11,437,0,586,0,505,0,367,1,145,35,24,172,22,280,31520,31.15,-81.48,11,13,79,70,215,422,486,497,351,195,4,57,24,30,62,98,310,497,590,506,348,94,67,10,24,72,88,127,203,393,682,511,403,146,0,0,396,292,159,85,15,0,0,0,0,34,279,147,444,242,116,51,4,0,0,0,2,72,141,367,311,128,157,48,13,0,0,0,0,0,97,327
"COLUMBUS, GA",89,31906,32.47,-84.95,7,476,24,307,35,169,65,77,249,11,455,0,565,0,508,0,337,0,88,50,15,269,16,383,31906,32.47,-84.95,3,6,31,56,207,416,504,514,332,153,0,37,13,12,23,70,320,562,616,500,336,52,46,12,4,54,50,69,219,387,575,510,343,58,0,0,493,398,156,99,17,0,0,0,0,43,320,241,552,308,165,79,0,0,0,0,0,79,241,418,383,214,185,54,15,0,0,0,0,29,245,490
"MACON, GA",90,31204,32.85,-83.67,5,492,23,312,34,189,55,94,231,16,430,0,539,0,499,0,298,2,70,71,13,293,15,417,31204,32.85,-83.67,4,5,34,49,191,415,510,520,308,144,0,32,12,11,25,55,299,508,535,501,288,36,38,12,0,53,43,60,204,366,573,477,298,30,0,0,512,396,181,115,22,0,0,0,0,52,355,270,568,334,175,91,5,0,0,0,5,107,235,453,395,207,210,75,21,0,0,0,0,55,289,527
"SAVANNAH, GA",91,31401,32.08,-81.1,15,394,42,240,80,138,101,58,264,8,443,0,551,0,510,0,345,2,115,39,18,212,22,323,31401,32.08,-81.1,16,17,83,73,236,432,501,522,341,178,0,46,20,29,64,87,344,489,544,507,335,83,55,21,8,81,92,142,212,409,607,501,358,83,0,0,394,314,140,86,8,0,0,0,0,36,300,184,490,267,128,55,4,0,0,0,6,69,152,369,299,140,145,34,13,0,0,0,0,11,183,416
"WAYCROSS, GA",92,31501,31.21,-82.35,23,363,46,213,88,125,119,48,293,3,552,0,638,0,518,0,373,0,137,31,26,182,29,289,31501,31.21,-82.35,17,21,100,96,262,460,522,540,382,203,7,67,27,36,65,120,372,765,799,522,373,111,71,21,26,80,98,141,244,431,594,492,365,96,0,0,384,278,141,71,7,0,0,0,0,31,258,141,423,235,98,42,1,0,0,0,0,57,134,351,282,127,136,31,1,0,0,0,0,5,153,375
"HILO, HI",93,96720,19.69,-155.08,273,0,226,0,284,15,272,15,325,0,321,0,369,0,377,0,358,0,354,0,293,0,252,0,96720,19.69,-155.08,287,235,241,278,371,327,366,401,363,337,317,259,272,244,315,268,306,308,355,367,370,395,286,265,259,198,296,271,299,328,386,362,341,331,275,231,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HONOLULU, HI",94,96826,21.29,-157.83,313,0,300,0,344,0,383,0,429,0,474,0,521,0,521,0,512,0,483,0,404,0,316,1,96826,21.29,-157.83,371,273,294,349,449,484,530,516,510,480,408,310,269,290,357,400,417,460,506,525,519,497,412,332,300,336,381,400,421,478,528,523,508,472,392,307,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAHULUI, HI",95,96732,20.87,-156.45,281,0,237,0,294,0,331,0,388,0,422,0,482,0,481,0,469,0,449,0,375,0,293,0,96732,20.87,-156.45,338,229,246,265,376,402,468,452,456,421,381,305,266,243,336,394,410,438,487,529,526,513,411,306,240,239,300,334,379,425,492,461,426,414,333,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
