City,id,zip,lat,lon,cdd Jan,hdd Jan,cdd Feb,hdd Feb,cdd Mar,hdd Mar,cdd Apr,hdd Apr,cdd May,hdd May,cdd Jun,hdd Jun,cdd Jul,hdd Jul,cdd Aug,hdd Aug,cdd Sep,hdd Sep,cdd Oct,hdd Oct,cdd Nov,hdd Nov,cdd Dec,hdd Dec,zip,lat,lon,cdd Jan 2021,cdd Feb 2021,cdd Mar 2021,cdd Apr 2021,cdd May 2021,cdd Jun 2021,cdd Jul 2021,cdd Aug 2021,cdd Sep 2021,cdd Oct 2021,cdd Nov 2021,cdd Dec 2021,cdd Jan 2022,cdd Feb 2022,cdd Mar 2022,cdd Apr 2022,cdd May 2022,cdd Jun 2022,cdd Jul 2022,cdd Aug 2022,cdd Sep 2022,cdd Oct 2022,cdd Nov 2022,cdd Dec 2022,cdd Jan 2023,cdd Feb 2023,cdd Mar 2023,cdd Apr 2023,cdd May 2023,cdd Jun 2023,cdd Jul 2023,cdd Aug 2023,cdd Sep 2023,cdd Oct 2023,cdd Nov 2023,cdd Dec 2023,hdd Jan 2021,hdd Feb 2021,hdd Mar 2021,hdd Apr 2021,hdd May 2021,hdd Jun 2021,hdd Jul 2021,hdd Aug 2021,hdd Sep 2021,hdd Oct 2021,hdd Nov 2021,hdd Dec 2021,hdd Jan 2022,hdd Feb 2022,hdd Mar 2022,hdd Apr 2022,hdd May 2022,hdd Jun 2022,hdd Jul 2022,hdd Aug 2022,hdd Sep 2022,hdd Oct 2022,hdd Nov 2022,hdd Dec 2022,hdd Jan 2023,hdd Feb 2023,hdd Mar 2023,hdd Apr 2023,hdd May 2023,hdd Jun 2023,hdd Jul 2023,hdd Aug 2023,hdd Sep 2023,hdd Oct 2023,hdd Nov 2023,hdd Dec 2023
"TUSCALOOSA, AL",30,35404,33.22,-87.48,8,542,21,404,36,227,62,96,259,8,450,0,556,0,510,0,329,1,81,68,11,327,18,416,35404,33.22,-87.48,4,19,42,59,203,410,501,516,330,168,0,39,13,7,15,70,343,550,642,498,315,24,32,16,7,36,50,58,232,390,526,516,343,50,0,0,579,528,195,115,4,0,0,0,0,58,379,255,624,411,250,99,0,0,0,0,2,104,315,469,422,273,237,73,20,0,0,0,0,42,286,525
"EL DORADO, AR",31,71730,33.21,-92.66,6,583,9,532,29,266,55,128,237,7,451,0,569,0,532,0,305,2,85,70,9,376,28,457,71730,33.21,-92.66,0,3,28,42,177,432,497,592,305,162,7,64,8,6,21,87,293,484,671,498,300,54,21,20,9,18,37,35,241,436,539,507,311,40,0,0,613,692,239,146,17,0,0,0,0,53,397,255,655,553,325,117,0,0,0,0,5,102,399,535,480,352,233,121,4,0,0,0,0,55,332,581
"FAYETTEVILLE, AR",32,72703,36.12,-94.04,0,814,0,726,4,445,29,246,143,83,344,1,495,0,424,0,214,12,34,179,6,519,7,660,72703,36.12,-94.04,0,0,0,19,72,323,382,437,278,67,0,20,0,0,1,48,209,385,634,435,209,36,17,0,0,0,10,21,148,323,468,401,155,0,0,0,828,946,396,281,109,4,0,0,14,154,487,421,896,726,473,217,89,0,0,0,23,199,542,724,719,505,466,241,52,0,0,0,0,183,527,834
"FORT SMITH, AR",33,72901,35.37,-94.42,0,708,0,628,9,333,39,151,210,22,456,0,605,0,563,0,354,0,81,93,8,412,4,577,72901,35.37,-94.42,0,0,14,20,129,428,524,583,406,127,0,11,0,0,1,58,247,468,698,590,381,88,23,0,0,0,13,40,255,471,593,516,276,27,0,0,712,821,267,186,33,0,0,0,0,82,399,334,808,638,382,136,13,0,0,0,0,106,408,658,604,424,351,132,20,0,0,0,0,90,430,740
"HARRISON, AR",34,72601,36.24,-93.11,5,501,14,462,71,158,206,43,419,1,678,0,841,0,684,0,438,0,185,77,43,344,23,505,72601,36.24,-93.11,0,2,81,197,332,673,777,834,624,300,35,63,0,15,80,192,454,706,917,818,546,254,95,7,15,26,53,228,472,656,830,400,144,0,0,0,499,684,80,56,3,0,0,0,0,13,193,184,606,464,182,49,0,0,0,0,0,46,316,501,397,237,211,23,0,0,0,0,0,172,522,829
"LITTLE ROCK, AR",35,72207,34.77,-92.35,2,629,2,577,14,295,52,137,238,15,457,0,585,0,541,0,343,0,96,70,5,404,8,527,72207,34.77,-92.35,0,0,7,29,146,416,514,549,348,141,0,21,0,0,15,79,274,471,657,539,378,105,16,3,7,7,20,49,293,483,584,536,303,43,0,0,682,805,281,183,34,0,0,0,0,66,439,324,707,561,314,130,2,0,0,0,1,89,403,596,497,364,290,97,9,0,0,0,0,55,370,662
"TEXARKANA, AR",36,71854,33.45,-94.01,8,504,13,465,39,202,89,81,304,5,542,0,685,0,583,0,384,0,145,43,15,300,39,404,71854,33.45,-94.01,0,3,39,77,199,505,581,609,423,231,13,82,0,4,17,107,371,571,801,596,399,142,31,34,25,33,60,84,343,551,673,544,331,61,0,0,563,643,183,117,16,0,0,0,0,32,292,200,577,475,249,65,0,0,0,0,0,66,302,453,373,278,174,60,0,0,0,0,0,31,307,560
"DOUGLAS, AZ",37,85607,31.54,-109.46,18,149,47,98,180,31,502,2,725,0,974,0,944,0,664,0,587,0,285,23,120,138,30,272,85607,31.54,-109.46,26,72,187,522,722,1036,824,804,727,407,292,67,11,36,214,516,759,1003,936,806,775,417,68,23,16,32,139,468,693,883,1072,383,260,30,0,0,132,46,33,0,0,0,0,0,0,0,0,86,112,112,26,0,0,0,0,0,0,0,43,142,202,136,33,5,0,0,0,0,0,70,370,588
"FLAGSTAFF, AZ",38,86004,35.29,-111.32,0,660,1,537,1,431,35,142,197,10,473,1,621,3,346,9,248,73,34,257,1,548,0,715,86004,35.29,-111.32,0,1,0,34,198,582,658,528,357,41,3,0,0,2,4,40,224,483,511,497,386,62,0,0,0,0,0,31,170,355,693,13,0,0,0,0,703,464,440,149,6,0,0,0,1,115,284,507,662,554,421,112,12,3,10,0,0,108,506,561,614,592,433,165,11,0,0,26,217,549,854,1077
"PHOENIX, AZ",39,85033,33.49,-112.21,1,270,7,166,75,87,335,6,582,0,847,0,1016,0,857,0,722,0,338,1,63,85,5,266,85033,33.49,-112.21,4,14,82,358,571,921,897,861,734,313,164,14,0,8,123,345,599,881,977,888,790,392,16,0,0,0,20,302,575,740,1174,823,642,308,9,0,265,120,99,0,0,0,0,0,0,2,2,186,210,163,54,2,0,0,0,0,0,0,150,287,335,214,109,16,0,0,0,0,0,0,102,324
